Loading wordToVec pickle..
Loaded wordToVec pickle..
Loading train pickle..
Loaded train pickle..
train size:  316436
Loading test pickle..
Loaded test pickle..
pair index 34899 loss tensor(66.4539, grad_fn=<AddBackward0>)
pair index 34999 loss tensor(67.1661, grad_fn=<AddBackward0>)
pair index 35099 loss tensor(65.2029, grad_fn=<AddBackward0>)
pair index 35199 loss tensor(67.7119, grad_fn=<AddBackward0>)
pair index 35299 loss tensor(68.0345, grad_fn=<AddBackward0>)
pair index 35399 loss tensor(65.1976, grad_fn=<AddBackward0>)
pair index 35499 loss tensor(67.4349, grad_fn=<AddBackward0>)
pair index 35599 loss tensor(67.7398, grad_fn=<AddBackward0>)
pair index 35699 loss tensor(69.5956, grad_fn=<AddBackward0>)
pair index 35799 loss tensor(66.7648, grad_fn=<AddBackward0>)
pair index 35899 loss tensor(68.1590, grad_fn=<AddBackward0>)
pair index 35999 loss tensor(67.0850, grad_fn=<AddBackward0>)
pair index 36099 loss tensor(64.0083, grad_fn=<AddBackward0>)
pair index 36199 loss tensor(66.1477, grad_fn=<AddBackward0>)
pair index 36299 loss tensor(66.4792, grad_fn=<AddBackward0>)
pair index 36399 loss tensor(65.5088, grad_fn=<AddBackward0>)
pair index 36499 loss tensor(64.9083, grad_fn=<AddBackward0>)
pair index 36599 loss tensor(66.4577, grad_fn=<AddBackward0>)
pair index 36699 loss tensor(65.2064, grad_fn=<AddBackward0>)
pair index 36799 loss tensor(67.1774, grad_fn=<AddBackward0>)
pair index 36899 loss tensor(66.7729, grad_fn=<AddBackward0>)
pair index 36999 loss tensor(65.5129, grad_fn=<AddBackward0>)
pair index 37099 loss tensor(66.4596, grad_fn=<AddBackward0>)
pair index 37199 loss tensor(67.7098, grad_fn=<AddBackward0>)
pair index 37299 loss tensor(67.7173, grad_fn=<AddBackward0>)
pair index 37399 loss tensor(66.1316, grad_fn=<AddBackward0>)
pair index 37499 loss tensor(65.5139, grad_fn=<AddBackward0>)
pair index 37599 loss tensor(67.0879, grad_fn=<AddBackward0>)
pair index 37699 loss tensor(66.4577, grad_fn=<AddBackward0>)
pair index 37799 loss tensor(66.7736, grad_fn=<AddBackward0>)
pair index 37899 loss tensor(68.0346, grad_fn=<AddBackward0>)
pair index 37999 loss tensor(69.9124, grad_fn=<AddBackward0>)
pair index 38099 loss tensor(67.4355, grad_fn=<AddBackward0>)
pair index 38199 loss tensor(67.7197, grad_fn=<AddBackward0>)
pair index 38299 loss tensor(67.7138, grad_fn=<AddBackward0>)
pair index 38399 loss tensor(65.1622, grad_fn=<AddBackward0>)
pair index 38499 loss tensor(65.8311, grad_fn=<AddBackward0>)
pair index 38599 loss tensor(64.6305, grad_fn=<AddBackward0>)
pair index 38699 loss tensor(65.5133, grad_fn=<AddBackward0>)
pair index 38799 loss tensor(65.5338, grad_fn=<AddBackward0>)
pair index 38899 loss tensor(68.0362, grad_fn=<AddBackward0>)
pair index 38999 loss tensor(66.8060, grad_fn=<AddBackward0>)
pair index 39099 loss tensor(67.1156, grad_fn=<AddBackward0>)
pair index 39199 loss tensor(64.0852, grad_fn=<AddBackward0>)
pair index 39299 loss tensor(68.0439, grad_fn=<AddBackward0>)
pair index 39399 loss tensor(66.8602, grad_fn=<AddBackward0>)
pair index 39499 loss tensor(63.3132, grad_fn=<AddBackward0>)
pair index 39599 loss tensor(67.4177, grad_fn=<AddBackward0>)
pair index 39699 loss tensor(66.1410, grad_fn=<AddBackward0>)
